,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Sales
4850,536809,84950,ASSORTED COLOUR T-LIGHT HOLDER,1824,12/2/2010 16:48,0.55,15299.0,United Kingdom,1003.2
4945,536830,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2880,12/2/2010 17:38,0.18,16754.0,United Kingdom,518.4
4946,536830,21915,RED  HARMONICA IN BOX ,1400,12/2/2010 17:38,1.06,16754.0,United Kingdom,1484.0
6365,536890,17084R,ASSORTED INCENSE PACK,1440,12/3/2010 11:48,0.16,14156.0,EIRE,230.4
16435,537659,22189,CREAM HEART CARD HOLDER,1008,12/7/2010 16:43,2.31,18102.0,United Kingdom,2328.48
16436,537659,22188,BLACK HEART CARD HOLDER,1008,12/7/2010 16:43,2.31,18102.0,United Kingdom,2328.48
19149,537841,16014,SMALL CHINESE STYLE SCISSOR,1000,12/8/2010 15:10,0.32,13848.0,United Kingdom,320.0
19871,537899,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1488,12/9/2010 10:44,2.55,12755.0,Japan,3794.3999999999996
19980,537981,22492,MINI PAINT SET VINTAGE ,1394,12/9/2010 11:35,0.55,17857.0,United Kingdom,766.7
25920,538420,17096,ASSORTED LAQUERED INCENSE HOLDERS,1728,12/12/2010 12:03,0.17,12875.0,United Kingdom,293.76000000000005
32671,539101,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,2400,12/16/2010 10:35,0.94,16029.0,United Kingdom,2256.0
40060,539721,22616,PACK OF 12 LONDON TISSUES ,1296,12/21/2010 13:34,0.25,17306.0,United Kingdom,324.0
52132,540689,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1010,1/11/2011 8:43,3.24,17450.0,United Kingdom,3272.4
52133,540689,22469,HEART OF WICKER SMALL,1356,1/11/2011 8:43,1.93,17450.0,United Kingdom,2617.08
52134,540689,22470,HEART OF WICKER LARGE,1284,1/11/2011 8:43,3.21,17450.0,United Kingdom,4121.64
52771,540818,47556B,TEA TIME TEA TOWELS ,1300,1/11/2011 12:57,2.55,15749.0,United Kingdom,3314.9999999999995
63444,541570,21212,PACK OF 72 RETROSPOT CAKE CASES,1440,1/19/2011 12:34,0.42,14646.0,Netherlands,604.8
80742,543057,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2592,2/3/2011 10:50,0.21,16333.0,United Kingdom,544.3199999999999
82205,543192,15036,ASSORTED COLOURS SILK FAN,1200,2/4/2011 11:55,0.65,17381.0,United Kingdom,780.0
86503,543549,21982,PACK OF 12 SUKI TISSUES ,1296,2/10/2011 9:29,0.22,17940.0,United Kingdom,285.12
86504,543549,21986,PACK OF 12 PINK POLKADOT TISSUES,1296,2/10/2011 9:29,0.22,17940.0,United Kingdom,285.12
86505,543549,21985,PACK OF 12 HEARTS DESIGN TISSUES ,1296,2/10/2011 9:29,0.22,17940.0,United Kingdom,285.12
87631,543669,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,2400,2/11/2011 11:22,0.94,16029.0,United Kingdom,2256.0
89284,543842,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,1056,2/14/2011 11:22,1.06,16333.0,United Kingdom,1119.3600000000001
90259,543991,16014,SMALL CHINESE STYLE SCISSOR,1500,2/15/2011 10:17,0.32,13848.0,United Kingdom,480.0
91772,544152,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,2400,2/16/2011 12:10,0.06,14609.0,United Kingdom,144.0
97432,544612,22053,EMPIRE DESIGN ROSETTE,3906,2/22/2011 10:43,0.82,18087.0,United Kingdom,3202.9199999999996
99936,544793,72232,FENG SHUI PILLAR CANDLE,1152,2/23/2011 12:41,0.19,13694.0,United Kingdom,218.88
109467,545644,22440,BALLOON WATER BOMB PACK OF 35,1200,3/4/2011 12:37,0.36,16333.0,United Kingdom,432.0
109469,545644,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1152,3/4/2011 12:37,0.21,16333.0,United Kingdom,241.92
121857,546789,85099B,JUMBO BAG RED RETROSPOT,1200,3/17/2011 10:17,1.65,15769.0,United Kingdom,1980.0
125281,547037,22616,PACK OF 12 LONDON TISSUES ,1296,3/20/2011 10:37,0.25,14101.0,United Kingdom,324.0
125282,547037,21967,PACK OF 12 SKULL TISSUES,2160,3/20/2011 10:37,0.25,14101.0,United Kingdom,540.0
130911,547519,16014,SMALL CHINESE STYLE SCISSOR,1000,3/23/2011 14:46,0.32,16308.0,United Kingdom,320.0
139503,548324,84568,GIRLS ALPHABET IRON ON PATCHES ,1440,3/30/2011 13:01,0.17,13316.0,United Kingdom,244.8
142700,548627,22440,BALLOON WATER BOMB PACK OF 35,1200,4/1/2011 12:19,0.36,16333.0,United Kingdom,432.0
142702,548627,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1152,4/1/2011 12:19,0.21,16333.0,United Kingdom,241.92
142749,548635,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1152,4/1/2011 12:27,0.21,16333.0,United Kingdom,241.92
150272,549412,84212,"ASSORTED FLOWER COLOUR ""LEIS""",1200,4/8/2011 11:43,0.42,14258.0,United Kingdom,504.0
154569,549925,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,1056,4/13/2011 10:12,1.06,16333.0,United Kingdom,1119.3600000000001
154571,549926,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1728,4/13/2011 10:14,0.21,16333.0,United Kingdom,362.88
160543,550461,47556B,TEA TIME TEA TOWELS ,1300,4/18/2011 13:20,2.1,15749.0,United Kingdom,2730.0
166426,550917,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1008,4/21/2011 13:40,0.21,17381.0,United Kingdom,211.67999999999998
169123,551162,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1200,4/26/2011 15:45,0.21,12901.0,United Kingdom,252.0
170511,551314,22440,BALLOON WATER BOMB PACK OF 35,1200,4/27/2011 15:07,0.36,16333.0,United Kingdom,432.0
170513,551314,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1152,4/27/2011 15:07,0.21,16333.0,United Kingdom,241.92
177702,552172,16014,SMALL CHINESE STYLE SCISSOR,2000,5/6/2011 13:03,0.32,16308.0,United Kingdom,640.0
185919,552833,23167,SMALL CERAMIC TOP STORAGE JAR ,1350,5/11/2011 14:14,0.69,18133.0,United Kingdom,931.4999999999999
186820,552883,21212,PACK OF 72 RETROSPOT CAKE CASES,1200,5/12/2011 10:13,0.42,14646.0,Netherlands,504.0
201149,554272,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2700,5/23/2011 13:08,0.42,12901.0,United Kingdom,1134.0
206121,554868,22197,SMALL POPCORN HOLDER,4300,5/27/2011 10:52,0.72,13135.0,United Kingdom,3096.0
208170,555099,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1152,5/31/2011 13:39,0.21,16333.0,United Kingdom,241.92
221722,556267,16216,LETTER SHAPE PENCIL SHARPENER,1600,6/9/2011 19:33,0.06,13694.0,United Kingdom,96.0
221744,556267,15034,PAPER POCKET TRAVELING FAN ,1200,6/9/2011 19:33,0.07,13694.0,United Kingdom,84.00000000000001
250766,559047,15036,ASSORTED COLOURS SILK FAN,1200,7/5/2011 15:44,0.72,13082.0,United Kingdom,864.0
253989,559255,84992,72 SWEETHEART FAIRY CAKE CASES,1440,7/7/2011 12:04,0.4,13027.0,United Kingdom,576.0
270885,560599,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,3186,7/19/2011 17:04,0.06,14609.0,United Kingdom,191.16
282289,561638,84568,GIRLS ALPHABET IRON ON PATCHES ,1440,7/28/2011 14:54,0.17,15118.0,United Kingdom,244.8
284437,561873,84568,GIRLS ALPHABET IRON ON PATCHES ,1440,7/31/2011 11:48,0.17,13316.0,United Kingdom,244.8
284452,561873,84568,GIRLS ALPHABET IRON ON PATCHES ,1440,7/31/2011 11:48,0.17,13316.0,United Kingdom,244.8
286765,562040,62018,SOMBRERO ,1000,8/2/2011 10:00,1.25,17553.0,United Kingdom,1250.0
289952,562343,22616,PACK OF 12 LONDON TISSUES ,1008,8/4/2011 12:13,0.29,17381.0,United Kingdom,292.32
291247,562439,22197,POPCORN HOLDER,1900,8/4/2011 18:06,0.72,12931.0,United Kingdom,1368.0
291249,562439,84879,ASSORTED COLOUR BIRD ORNAMENT,2880,8/4/2011 18:06,1.45,12931.0,United Kingdom,4176.0
304989,563616,21212,PACK OF 72 RETROSPOT CAKE CASES,1200,8/18/2011 9:39,0.4,13027.0,United Kingdom,480.0
311391,564272,16014,SMALL CHINESE STYLE SCISSOR,2000,8/24/2011 10:52,0.32,16308.0,United Kingdom,640.0
319753,564871,21497,FANCY FONTS BIRTHDAY WRAP,1000,8/31/2011 10:46,0.34,17949.0,United Kingdom,340.0
321040,565122,84568,GIRLS ALPHABET IRON ON PATCHES ,1440,9/1/2011 11:48,0.17,13069.0,United Kingdom,244.8
321304,565145,22492,MINI PAINT SET VINTAGE ,1152,9/1/2011 13:50,0.55,12415.0,Australia,633.6
331716,566028,16014,SMALL CHINESE STYLE SCISSOR,1000,9/8/2011 12:58,0.32,13848.0,United Kingdom,320.0
347563,567309,21787,RAIN PONCHO RETROSPOT,1788,9/19/2011 13:39,0.85,12901.0,United Kingdom,1519.8
348316,567423,23286,BLUE VINTAGE SPOT BEAKER,1878,9/20/2011 11:05,1.08,17450.0,United Kingdom,2028.2400000000002
348317,567423,23288,GREEN VINTAGE SPOT BEAKER,1944,9/20/2011 11:05,1.08,17450.0,United Kingdom,2099.52
348318,567423,23285,PINK VINTAGE SPOT BEAKER,1944,9/20/2011 11:05,1.08,17450.0,United Kingdom,2099.52
348322,567423,22969,HOMEMADE JAM SCENTED CANDLES,1428,9/20/2011 11:05,1.7,17450.0,United Kingdom,2427.6
348325,567423,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,1412,9/20/2011 11:05,5.06,17450.0,United Kingdom,7144.719999999999
369674,569085,21098,CHRISTMAS TOILET ROLL,1200,9/30/2011 11:57,1.06,17949.0,United Kingdom,1272.0
369675,569086,22197,POPCORN HOLDER,1000,9/30/2011 11:58,0.72,17949.0,United Kingdom,720.0
376061,569492,21915,RED  HARMONICA IN BOX ,1540,10/4/2011 13:30,1.06,16333.0,United Kingdom,1632.4
380505,569815,85099B,JUMBO BAG RED RETROSPOT,1000,10/6/2011 11:53,1.79,15838.0,United Kingdom,1790.0
409248,572052,22595,GINGHAM HEART DECORATION,1728,10/20/2011 12:26,0.72,14646.0,Netherlands,1244.1599999999999
417792,572670,22065,CHRISTMAS PUDDING TRINKET POT ,1200,10/25/2011 13:14,0.39,13685.0,United Kingdom,468.0
421601,573003,23084,RABBIT NIGHT LIGHT,2400,10/27/2011 12:11,2.08,14646.0,Netherlands,4992.0
421632,573008,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,4800,10/27/2011 12:26,0.21,12901.0,United Kingdom,1008.0
424310,573261,22197,POPCORN HOLDER,1992,10/28/2011 12:32,0.72,17949.0,United Kingdom,1434.24
433788,573995,16014,SMALL CHINESE STYLE SCISSOR,3000,11/2/2011 11:24,0.32,16308.0,United Kingdom,960.0
437478,574294,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1020,11/3/2011 15:47,2.55,16333.0,United Kingdom,2601.0
437480,574294,21915,RED  HARMONICA IN BOX ,2100,11/3/2011 15:47,1.06,16333.0,United Kingdom,2226.0
447035,574941,22197,POPCORN HOLDER,1820,11/7/2011 17:42,1.95,,United Kingdom,3549.0
452365,575335,84879,ASSORTED COLOUR BIRD ORNAMENT,1200,11/9/2011 13:56,1.45,12931.0,United Kingdom,1740.0
454472,575582,85099B,JUMBO BAG RED RETROSPOT,1000,11/10/2011 11:55,1.79,16986.0,United Kingdom,1790.0
467796,576365,22197,POPCORN HOLDER,1130,11/14/2011 17:55,1.95,,United Kingdom,2203.5
488313,577810,22197,POPCORN HOLDER,1000,11/22/2011 8:44,0.72,17949.0,United Kingdom,720.0
511421,579498,23084,RABBIT NIGHT LIGHT,2040,11/29/2011 15:52,1.79,12798.0,Japan,3651.6
516562,579936,21787,RAIN PONCHO RETROSPOT,1200,12/1/2011 10:07,0.65,12901.0,United Kingdom,780.0
519822,580170,22197,POPCORN HOLDER,1000,12/2/2011 11:39,0.72,17949.0,United Kingdom,720.0
520003,580243,21915,RED  HARMONICA IN BOX ,1120,12/2/2011 12:19,1.06,16333.0,United Kingdom,1187.2
521375,580363,23582,VINTAGE DOILY JUMBO BAG RED ,1500,12/2/2011 16:32,1.79,13868.0,United Kingdom,2685.0
533812,581115,22413,METAL SIGN TAKE IT OR LEAVE IT ,1404,12/7/2011 12:20,2.75,15195.0,United Kingdom,3861.0
534952,581175,23084,RABBIT NIGHT LIGHT,1440,12/7/2011 15:16,1.79,14646.0,Netherlands,2577.6
540070,581458,22197,POPCORN HOLDER,1500,12/8/2011 18:45,0.72,17949.0,United Kingdom,1080.0
540071,581459,22197,POPCORN HOLDER,1200,12/8/2011 18:46,0.72,17949.0,United Kingdom,864.0
